state,year,Electric Vehicle Registrations by State ,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,latitude,longitude
Connecticut,"2,019",6900,422,1048,41.597782,-72.755371
Delaware,"2,019",1300,57,172,39.318523,-75.507141
District of Columbia,"2,019",1800,172,553,38.897438,-77.026817
Florida,"2,019",40300,1562,4562,27.766279,-81.686783
Georgia,"2,019",19000,882,2939,33.040619,-83.643074
Hawaii,"2,019",8800,296,666,21.094318,-157.498337
Idaho,"2,019",1600,95,216,44.240459,-114.478828
Illinois,"2,019",19300,663,1864,40.349457,-88.986137
Indiana,"2,019",5100,239,614,39.849426,-86.258278
Iowa,"2,019",1600,141,348,42.011539,-93.210526
Kansas,"2,019",2300,234,904,38.5266,-96.726486
Kentucky,"2,019",1900,133,315,37.66814,-84.670067
Louisiana,"2,019",1400,107,293,31.169546,-91.867805
Maine,"2,019",1300,184,433,44.693947,-69.381927
Maryland,"2,019",13200,738,2110,39.063946,-76.802101
Massachusetts,"2,019",14100,811,2455,42.230171,-71.530106
Michigan,"2,019",6600,616,1429,43.326618,-84.536095
Minnesota,"2,019",7700,380,1051,45.694454,-93.900192
Mississippi,"2,019",500,81,292,32.741646,-89.678696
Missouri,"2,019",4900,452,1895,38.456085,-92.288368
Montana,"2,019",700,55,137,46.921925,-110.454353
Nebraska,"2,019",1300,95,238,41.12537,-98.268082
Nevada,"2,019",7900,284,927,38.313515,-117.055374
New Hampshire,"2,019",1900,121,244,43.452492,-71.563896
New Jersey,"2,019",20200,457,1297,40.298904,-74.521011
New Mexico,"2,019",1900,82,245,34.840515,-106.248482
New York,"2,019",23000,1655,4531,42.165726,-74.948051
North Carolina,"2,019",11600,732,1903,35.630066,-79.806419
North Dakota,"2,019",200,28,46,47.528912,-99.784012
Ohio,"2,019",10200,544,1443,40.388783,-82.764915
Oklahoma,"2,019",3400,131,309,35.565342,-96.928917
Oregon,"2,019",18800,722,1895,44.572021,-122.070938
Pennsylvania,"2,019",12000,572,1475,40.590752,-77.209755
Rhode Island,"2,019",1100,113,407,41.680893,-71.51178
South Carolina,"2,019",3000,286,643,33.856892,-80.945007
South Dakota,"2,019",300,41,127,44.299782,-99.438828
Tennessee,"2,019",5700,453,1207,35.747845,-86.692345
Texas,"2,019",38400,1376,4009,31.054487,-97.563461
Utah,"2,019",8000,289,950,40.150032,-111.862434
Vermont,"2,019",1700,237,664,44.045876,-72.710686
Virginia,"2,019",15000,710,2056,37.769337,-78.169968
Washington,"2,019",40400,1095,3206,47.400902,-121.490494
West Virginia,"2,019",400,89,244,38.491226,-80.954453
Wisconsin,"2,019",4700,345,711,44.268543,-89.616508
Wyoming,"2,019",200,57,159,42.755966,-107.30249
